Name,Date,Time,Price
Wrong Jovi,Dec 08 2023,7PM - 10:30PM,£12.50
These Wicked Rivers,Dec 08 2023,7PM - 10:30PM,£16
Mechanical Animal – Industrial Goth Freakfest,Dec 09 2023,5:30PM - 10:30PM,£22
Paramore GB,Dec 09 2023,7PM - 10:30PM,£12
Belphegor / Arkona,Dec 12 2023,7PM - 10:30PM,£25
Guilt trip,Dec 15 2023,7PM - 10:30PM,£15
The Heel Turn Festival Vol.1,Dec 16 2023,1PM - 10:30PM,£10
Midnite City,Dec 16 2023,7PM - 10:30PM,£15
Swampwalk,Dec 22 2023,7PM - 10:30PM,£10
Gnome,Jan 07 2024,7PM - 10:30PM,£12
The Rumpled,Jan 26 2024,7PM - 10:30PM,£12
The Black Charade / Fell Out Boy,Jan 27 2024,7PM - 10:30PM,£18
Kassogtha,Feb 11 2024,7PM - 10:30PM,£12
Esprit D’Air,Feb 19 2024,7PM - 10:30PM,£20
Collateral,Feb 24 2024,7PM - 10:30PM,£12
Napalm Death / Pig Destroyer,Mar 05 2024,7PM - 10:30PM,£28
Black Orchid Empire,Mar 06 2024,7PM - 10:30PM,£10
The Devout,Mar 09 2024,7PM - 11PM,£15
Bad Touch,Mar 10 2024,6:30PM - 10:30PM,£12
Conan + Wallowing,Mar 15 2024,7PM - 10:30PM,£14
Entertainment or Death?,Mar 15 2024,7PM - 10:30PM,£17.50
Reef,Mar 23 2024,2PM - 11PM,£28.50 – £40
Lene Lovich,Mar 23 2024,7PM - 10:30PM,£18
Resistanz 2024,"- 31, 2024",1PM - 5AM,£35 – £105
Devil Sold His Soul,Mar 29 2024,7PM - 10:30PM,£15
Whitesnake UK,Apr 05 2024,7PM - 10:30PM,£15
Moretallica,Apr 06 2024,7PM - 10:30PM,£12
The Showhawk Duo,Apr 12 2024,7PM - 10:30PM,£17.50
Empathy Test,Apr 12 2024,7PM - 10:30PM,£16
Livewire the AC/DC show,Apr 19 2024,7PM - 10:30PM,£20
Quireboys,May 09 2024,7PM - 10:30PM,£28
Dookie No.1 Green Day Tribute,May 11 2024,8PM - 11:30PM,£15
Hannah Wicklund,May 25 2024,7PM - 10:30PM,£15
Selofan,Jun 01 2024,7PM - 10:30PM,£15
Metal Militia,Oct 26 2024,7PM - 10:30PM,£15
